2023/01/20 12:07:25 app,line: 22     INFO | Logger object created successfully..
2023/01/20 12:07:25 app,line: 26     INFO | dash-trading started
2023/01/20 12:07:26 dash,line: 1968     INFO | Dash is running on http://127.0.0.1:8055/

2023/01/20 12:07:26 app,line: 22     INFO | Logger object created successfully..
2023/01/20 12:07:26 app,line: 26     INFO | dash-trading started
2023/01/20 12:10:12 app,line: 22     INFO | Logger object created successfully..
2023/01/20 12:10:12 app,line: 26     INFO | dash-trading started
2023/01/20 12:12:07 app,line: 22     INFO | Logger object created successfully..
2023/01/20 12:12:07 app,line: 26     INFO | dash-trading started
2023/01/20 12:14:27 app,line: 22     INFO | Logger object created successfully..
2023/01/20 12:14:27 app,line: 26     INFO | dash-trading started
2023/01/20 12:25:06 app,line: 22     INFO | Logger object created successfully..
2023/01/20 12:25:06 app,line: 26     INFO | dash-trading started
2023/01/20 12:34:52 app,line: 22     INFO | Logger object created successfully..
2023/01/20 12:34:52 app,line: 26     INFO | dash-trading started
2023/01/20 14:06:23 app,line: 22     INFO | Logger object created successfully..
2023/01/20 14:06:23 app,line: 26     INFO | dash-trading started
2023/01/20 14:06:24 dash,line: 1968     INFO | Dash is running on http://127.0.0.1:8055/

2023/01/20 14:06:25 app,line: 22     INFO | Logger object created successfully..
2023/01/20 14:06:25 app,line: 26     INFO | dash-trading started
2023/01/20 14:12:00 app,line: 22     INFO | Logger object created successfully..
2023/01/20 14:12:00 app,line: 26     INFO | dash-trading started
2023/01/20 14:12:01 dash,line: 1968     INFO | Dash is running on http://127.0.0.1:8055/

2023/01/20 14:12:02 app,line: 22     INFO | Logger object created successfully..
2023/01/20 14:12:02 app,line: 26     INFO | dash-trading started
2023/01/20 14:22:25 app,line: 22     INFO | Logger object created successfully..
2023/01/20 14:22:25 app,line: 26     INFO | dash-trading started
2023/01/20 14:22:26 dash,line: 1968     INFO | Dash is running on http://127.0.0.1:8055/

2023/01/20 14:22:28 app,line: 22     INFO | Logger object created successfully..
2023/01/20 14:22:28 app,line: 26     INFO | dash-trading started
2023/01/20 14:32:59 app,line: 22     INFO | Logger object created successfully..
2023/01/20 14:32:59 app,line: 26     INFO | dash-trading started
2023/01/20 14:33:01 dash,line: 1968     INFO | Dash is running on http://127.0.0.1:8055/

2023/01/20 14:33:02 app,line: 22     INFO | Logger object created successfully..
2023/01/20 14:33:02 app,line: 26     INFO | dash-trading started
2023/01/20 15:36:46 app,line: 22     INFO | Logger object created successfully..
2023/01/20 15:36:46 app,line: 26     INFO | dash-trading started
2023/01/20 15:36:47 dash,line: 1968     INFO | Dash is running on http://127.0.0.1:8055/

2023/01/20 15:36:48 app,line: 22     INFO | Logger object created successfully..
2023/01/20 15:36:48 app,line: 26     INFO | dash-trading started
2023/01/21 14:47:58 app,line: 22     INFO | Logger object created successfully..
2023/01/21 14:47:58 app,line: 26     INFO | dash-trading started
2023/01/21 14:48:02 dash,line: 1968     INFO | Dash is running on http://127.0.0.1:8055/

2023/01/21 14:48:03 app,line: 22     INFO | Logger object created successfully..
2023/01/21 14:48:03 app,line: 26     INFO | dash-trading started
2023/01/21 14:58:50 Value_investing,line: 158    ERROR | 'NoneType' object is not subscriptable
2023/01/21 15:48:01 app,line: 22     INFO | Logger object created successfully..
2023/01/21 15:48:01 app,line: 26     INFO | dash-trading started
2023/01/21 15:48:02 dash,line: 1968     INFO | Dash is running on http://127.0.0.1:8055/

2023/01/21 15:48:02 app,line: 22     INFO | Logger object created successfully..
2023/01/21 15:48:02 app,line: 26     INFO | dash-trading started
2023/01/21 16:06:21 app,line: 22     INFO | Logger object created successfully..
2023/01/21 16:06:21 app,line: 26     INFO | dash-trading started
2023/01/21 16:06:22 dash,line: 1968     INFO | Dash is running on http://127.0.0.1:8055/

2023/01/21 16:06:23 app,line: 22     INFO | Logger object created successfully..
2023/01/21 16:06:23 app,line: 26     INFO | dash-trading started
2023/01/21 16:07:35 app,line: 22     INFO | Logger object created successfully..
2023/01/21 16:07:35 app,line: 26     INFO | dash-trading started
2023/01/21 16:07:37 dash,line: 1968     INFO | Dash is running on http://127.0.0.1:8055/

2023/01/21 16:07:38 app,line: 22     INFO | Logger object created successfully..
2023/01/21 16:07:38 app,line: 26     INFO | dash-trading started
2023/01/21 16:12:50 app,line: 22     INFO | Logger object created successfully..
2023/01/21 16:12:50 app,line: 26     INFO | dash-trading started
2023/01/21 16:14:51 app,line: 22     INFO | Logger object created successfully..
2023/01/21 16:14:51 app,line: 26     INFO | dash-trading started
2023/01/21 16:14:52 dash,line: 1968     INFO | Dash is running on http://127.0.0.1:8055/

2023/01/21 16:14:54 app,line: 22     INFO | Logger object created successfully..
2023/01/21 16:14:54 app,line: 26     INFO | dash-trading started
2023/01/21 16:15:25 app,line: 22     INFO | Logger object created successfully..
2023/01/21 16:15:25 app,line: 26     INFO | dash-trading started
2023/01/21 16:15:27 dash,line: 1968     INFO | Dash is running on http://127.0.0.1:8055/

2023/01/21 16:15:28 app,line: 22     INFO | Logger object created successfully..
2023/01/21 16:15:28 app,line: 26     INFO | dash-trading started
2023/01/21 17:27:28 app,line: 22     INFO | Logger object created successfully..
2023/01/21 17:27:28 app,line: 26     INFO | dash-trading started
2023/01/21 17:28:10 app,line: 22     INFO | Logger object created successfully..
2023/01/21 17:28:10 app,line: 26     INFO | dash-trading started
2023/01/21 17:28:12 dash,line: 1968     INFO | Dash is running on http://127.0.0.1:8055/

2023/01/21 17:28:13 app,line: 22     INFO | Logger object created successfully..
2023/01/21 17:28:13 app,line: 26     INFO | dash-trading started
2023/01/21 17:31:57 app,line: 22     INFO | Logger object created successfully..
2023/01/21 17:31:57 app,line: 26     INFO | dash-trading started
2023/01/21 17:31:59 dash,line: 1968     INFO | Dash is running on http://127.0.0.1:8055/

2023/01/21 17:32:00 app,line: 22     INFO | Logger object created successfully..
2023/01/21 17:32:00 app,line: 26     INFO | dash-trading started
2023/01/21 17:33:07 app,line: 22     INFO | Logger object created successfully..
2023/01/21 17:33:07 app,line: 26     INFO | dash-trading started
2023/01/21 17:33:08 dash,line: 1968     INFO | Dash is running on http://127.0.0.1:8055/

2023/01/21 17:33:09 app,line: 22     INFO | Logger object created successfully..
2023/01/21 17:33:09 app,line: 26     INFO | dash-trading started
2023/01/21 17:34:12 app,line: 22     INFO | Logger object created successfully..
2023/01/21 17:34:12 app,line: 26     INFO | dash-trading started
2023/01/21 17:34:14 dash,line: 1968     INFO | Dash is running on http://127.0.0.1:8055/

2023/01/21 17:34:15 app,line: 22     INFO | Logger object created successfully..
2023/01/21 17:34:15 app,line: 26     INFO | dash-trading started
2023/01/21 17:38:27 app,line: 22     INFO | Logger object created successfully..
2023/01/21 17:38:27 app,line: 26     INFO | dash-trading started
2023/01/21 17:38:28 dash,line: 1968     INFO | Dash is running on http://127.0.0.1:8055/

2023/01/21 17:38:29 app,line: 22     INFO | Logger object created successfully..
2023/01/21 17:38:29 app,line: 26     INFO | dash-trading started
2023/01/21 17:39:42 app,line: 22     INFO | Logger object created successfully..
2023/01/21 17:39:42 app,line: 26     INFO | dash-trading started
2023/01/21 17:39:43 dash,line: 1968     INFO | Dash is running on http://127.0.0.1:8055/

2023/01/21 17:39:44 app,line: 22     INFO | Logger object created successfully..
2023/01/21 17:39:44 app,line: 26     INFO | dash-trading started
2023/01/21 17:40:53 app,line: 22     INFO | Logger object created successfully..
2023/01/21 17:40:53 app,line: 26     INFO | dash-trading started
2023/01/21 17:40:54 dash,line: 1968     INFO | Dash is running on http://127.0.0.1:8055/

2023/01/21 17:40:56 app,line: 22     INFO | Logger object created successfully..
2023/01/21 17:40:56 app,line: 26     INFO | dash-trading started
2023/01/21 17:56:19 app,line: 22     INFO | Logger object created successfully..
2023/01/21 17:56:19 app,line: 26     INFO | dash-trading started
2023/01/21 17:56:20 dash,line: 1968     INFO | Dash is running on http://127.0.0.1:8055/

2023/01/21 17:56:22 app,line: 22     INFO | Logger object created successfully..
2023/01/21 17:56:22 app,line: 26     INFO | dash-trading started
2023/01/21 18:01:13 app,line: 22     INFO | Logger object created successfully..
2023/01/21 18:01:13 app,line: 26     INFO | dash-trading started
2023/01/21 18:01:15 dash,line: 1968     INFO | Dash is running on http://127.0.0.1:8055/

2023/01/21 18:01:16 app,line: 22     INFO | Logger object created successfully..
2023/01/21 18:01:16 app,line: 26     INFO | dash-trading started
2023/01/21 18:14:13 app,line: 22     INFO | Logger object created successfully..
2023/01/21 18:14:13 app,line: 26     INFO | dash-trading started
2023/01/21 18:14:14 dash,line: 1968     INFO | Dash is running on http://127.0.0.1:8055/

2023/01/21 18:14:16 app,line: 22     INFO | Logger object created successfully..
2023/01/21 18:14:16 app,line: 26     INFO | dash-trading started
2023/01/21 18:15:16 app,line: 22     INFO | Logger object created successfully..
2023/01/21 18:15:16 app,line: 26     INFO | dash-trading started
2023/01/21 18:15:18 dash,line: 1968     INFO | Dash is running on http://127.0.0.1:8055/

2023/01/21 18:15:19 app,line: 22     INFO | Logger object created successfully..
2023/01/21 18:15:19 app,line: 26     INFO | dash-trading started
2023/01/21 18:18:34 app,line: 22     INFO | Logger object created successfully..
2023/01/21 18:18:34 app,line: 26     INFO | dash-trading started
2023/01/21 18:18:36 dash,line: 1968     INFO | Dash is running on http://127.0.0.1:8055/

2023/01/21 18:18:37 app,line: 22     INFO | Logger object created successfully..
2023/01/21 18:18:37 app,line: 26     INFO | dash-trading started
2023/01/21 18:37:21 app,line: 22     INFO | Logger object created successfully..
2023/01/21 18:37:21 app,line: 26     INFO | dash-trading started
2023/01/21 18:38:05 app,line: 22     INFO | Logger object created successfully..
2023/01/21 18:38:05 app,line: 26     INFO | dash-trading started
2023/01/21 18:38:34 app,line: 22     INFO | Logger object created successfully..
2023/01/21 18:38:34 app,line: 26     INFO | dash-trading started
2023/01/21 18:38:35 dash,line: 1968     INFO | Dash is running on http://127.0.0.1:8055/

2023/01/21 18:38:36 app,line: 22     INFO | Logger object created successfully..
2023/01/21 18:38:36 app,line: 26     INFO | dash-trading started
2023/01/23 10:50:19 app,line: 22     INFO | Logger object created successfully..
2023/01/23 10:50:19 app,line: 26     INFO | dash-trading started
2023/01/23 11:04:33 app,line: 22     INFO | Logger object created successfully..
2023/01/23 11:04:33 app,line: 26     INFO | dash-trading started
2023/01/23 11:04:36 dash,line: 1968     INFO | Dash is running on http://127.0.0.1:8055/

2023/01/23 11:04:37 app,line: 22     INFO | Logger object created successfully..
2023/01/23 11:04:37 app,line: 26     INFO | dash-trading started
2023/01/23 11:16:56 app,line: 22     INFO | Logger object created successfully..
2023/01/23 11:16:56 app,line: 26     INFO | dash-trading started
2023/01/23 11:17:00 dash,line: 1968     INFO | Dash is running on http://127.0.0.1:8055/

2023/01/23 11:17:01 app,line: 22     INFO | Logger object created successfully..
2023/01/23 11:17:01 app,line: 26     INFO | dash-trading started
2023/01/23 11:24:13 app,line: 22     INFO | Logger object created successfully..
2023/01/23 11:24:13 app,line: 26     INFO | dash-trading started
2023/01/23 11:24:16 dash,line: 1968     INFO | Dash is running on http://127.0.0.1:8055/

2023/01/23 11:24:17 app,line: 22     INFO | Logger object created successfully..
2023/01/23 11:24:17 app,line: 26     INFO | dash-trading started
2023/01/23 11:41:06 CandelstickAnalHelper,line: 88    ERROR | index 0 is out of bounds for axis 0 with size 0
2023/01/23 11:54:45 app,line: 22     INFO | Logger object created successfully..
2023/01/23 11:54:45 app,line: 26     INFO | dash-trading started
2023/01/23 11:55:49 app,line: 22     INFO | Logger object created successfully..
2023/01/23 11:55:49 app,line: 26     INFO | dash-trading started
2023/01/23 11:55:51 dash,line: 1968     INFO | Dash is running on http://127.0.0.1:8055/

2023/01/23 11:55:52 app,line: 22     INFO | Logger object created successfully..
2023/01/23 11:55:52 app,line: 26     INFO | dash-trading started
2023/01/23 12:04:46 app,line: 22     INFO | Logger object created successfully..
2023/01/23 12:04:46 app,line: 26     INFO | dash-trading started
2023/01/23 12:16:59 dash,line: 1968     INFO | Dash is running on http://127.0.0.1:8055/

2023/01/23 12:17:00 app,line: 22     INFO | Logger object created successfully..
2023/01/23 12:17:00 app,line: 26     INFO | dash-trading started
2023/01/23 12:19:01 app,line: 22     INFO | Logger object created successfully..
2023/01/23 12:19:01 app,line: 26     INFO | dash-trading started
2023/01/23 12:19:04 dash,line: 1968     INFO | Dash is running on http://127.0.0.1:8055/

2023/01/23 12:19:05 app,line: 22     INFO | Logger object created successfully..
2023/01/23 12:19:05 app,line: 26     INFO | dash-trading started
2023/01/23 12:31:00 app,line: 22     INFO | Logger object created successfully..
2023/01/23 12:31:00 app,line: 26     INFO | dash-trading started
2023/01/23 12:31:40 app,line: 22     INFO | Logger object created successfully..
2023/01/23 12:31:40 app,line: 26     INFO | dash-trading started
2023/01/23 12:31:43 dash,line: 1968     INFO | Dash is running on http://127.0.0.1:8055/

2023/01/23 12:31:44 app,line: 22     INFO | Logger object created successfully..
2023/01/23 12:31:44 app,line: 26     INFO | dash-trading started
2023/01/23 12:33:28 app,line: 22     INFO | Logger object created successfully..
2023/01/23 12:33:28 app,line: 26     INFO | dash-trading started
2023/01/23 12:33:31 dash,line: 1968     INFO | Dash is running on http://127.0.0.1:8055/

2023/01/23 12:33:33 app,line: 22     INFO | Logger object created successfully..
2023/01/23 12:33:33 app,line: 26     INFO | dash-trading started
2023/01/23 12:34:27 app,line: 22     INFO | Logger object created successfully..
2023/01/23 12:34:27 app,line: 26     INFO | dash-trading started
2023/01/23 12:34:30 dash,line: 1968     INFO | Dash is running on http://127.0.0.1:8055/

2023/01/23 12:34:32 app,line: 22     INFO | Logger object created successfully..
2023/01/23 12:34:32 app,line: 26     INFO | dash-trading started
2023/01/23 12:54:13 app,line: 22     INFO | Logger object created successfully..
2023/01/23 12:54:13 app,line: 26     INFO | dash-trading started
2023/01/23 12:54:16 dash,line: 1968     INFO | Dash is running on http://127.0.0.1:8055/

2023/01/23 12:54:17 app,line: 22     INFO | Logger object created successfully..
2023/01/23 12:54:17 app,line: 26     INFO | dash-trading started
2023/01/23 13:00:54 app,line: 22     INFO | Logger object created successfully..
2023/01/23 13:00:54 app,line: 26     INFO | dash-trading started
2023/01/23 13:00:58 dash,line: 1968     INFO | Dash is running on http://127.0.0.1:8055/

2023/01/23 13:00:59 app,line: 22     INFO | Logger object created successfully..
2023/01/23 13:00:59 app,line: 26     INFO | dash-trading started
2023/01/23 13:43:08 app,line: 22     INFO | Logger object created successfully..
2023/01/23 13:43:08 app,line: 26     INFO | dash-trading started
2023/01/23 13:43:10 dash,line: 1968     INFO | Dash is running on http://127.0.0.1:8055/

2023/01/23 13:43:11 app,line: 22     INFO | Logger object created successfully..
2023/01/23 13:43:11 app,line: 26     INFO | dash-trading started
2023/01/23 13:52:49 app,line: 22     INFO | Logger object created successfully..
2023/01/23 13:52:49 app,line: 26     INFO | dash-trading started
2023/01/23 13:52:52 dash,line: 1968     INFO | Dash is running on http://127.0.0.1:8055/

2023/01/23 13:52:53 app,line: 22     INFO | Logger object created successfully..
2023/01/23 13:52:53 app,line: 26     INFO | dash-trading started
2023/01/23 13:55:24 app,line: 22     INFO | Logger object created successfully..
2023/01/23 13:55:24 app,line: 26     INFO | dash-trading started
2023/01/23 13:55:26 dash,line: 1968     INFO | Dash is running on http://127.0.0.1:8055/

2023/01/23 13:55:28 app,line: 22     INFO | Logger object created successfully..
2023/01/23 13:55:28 app,line: 26     INFO | dash-trading started
2023/01/23 14:04:37 app,line: 22     INFO | Logger object created successfully..
2023/01/23 14:04:37 app,line: 26     INFO | dash-trading started
2023/01/23 14:04:39 dash,line: 1968     INFO | Dash is running on http://127.0.0.1:8055/

2023/01/23 14:04:41 app,line: 22     INFO | Logger object created successfully..
2023/01/23 14:04:41 app,line: 26     INFO | dash-trading started
2023/01/23 14:39:11 app,line: 22     INFO | Logger object created successfully..
2023/01/23 14:39:11 app,line: 26     INFO | dash-trading started
2023/01/23 14:39:14 dash,line: 1968     INFO | Dash is running on http://127.0.0.1:8055/

2023/01/23 14:39:15 app,line: 22     INFO | Logger object created successfully..
2023/01/23 14:39:15 app,line: 26     INFO | dash-trading started
2023/01/23 14:49:13 app,line: 22     INFO | Logger object created successfully..
2023/01/23 14:49:13 app,line: 26     INFO | dash-trading started
2023/01/23 14:49:16 dash,line: 1968     INFO | Dash is running on http://127.0.0.1:8055/

2023/01/23 14:49:18 app,line: 22     INFO | Logger object created successfully..
2023/01/23 14:49:18 app,line: 26     INFO | dash-trading started
2023/01/23 14:49:54 app,line: 22     INFO | Logger object created successfully..
2023/01/23 14:49:54 app,line: 26     INFO | dash-trading started
2023/01/23 14:49:56 dash,line: 1968     INFO | Dash is running on http://127.0.0.1:8055/

2023/01/23 14:49:58 app,line: 22     INFO | Logger object created successfully..
2023/01/23 14:49:58 app,line: 26     INFO | dash-trading started
2023/01/23 15:10:14 app,line: 22     INFO | Logger object created successfully..
2023/01/23 15:10:14 app,line: 26     INFO | dash-trading started
2023/01/23 15:10:16 dash,line: 1968     INFO | Dash is running on http://127.0.0.1:8055/

2023/01/23 15:10:18 app,line: 22     INFO | Logger object created successfully..
2023/01/23 15:10:18 app,line: 26     INFO | dash-trading started
2023/01/23 15:14:33 app,line: 22     INFO | Logger object created successfully..
2023/01/23 15:14:33 app,line: 26     INFO | dash-trading started
2023/01/23 15:14:36 dash,line: 1968     INFO | Dash is running on http://127.0.0.1:8055/

2023/01/23 15:14:37 app,line: 22     INFO | Logger object created successfully..
2023/01/23 15:14:37 app,line: 26     INFO | dash-trading started
2023/01/23 15:33:18 app,line: 22     INFO | Logger object created successfully..
2023/01/23 15:33:18 app,line: 26     INFO | dash-trading started
2023/01/23 15:33:21 dash,line: 1968     INFO | Dash is running on http://127.0.0.1:8055/

2023/01/23 15:33:22 app,line: 22     INFO | Logger object created successfully..
2023/01/23 15:33:22 app,line: 26     INFO | dash-trading started
2023/01/23 15:35:11 app,line: 22     INFO | Logger object created successfully..
2023/01/23 15:35:11 app,line: 26     INFO | dash-trading started
2023/01/23 15:35:14 dash,line: 1968     INFO | Dash is running on http://127.0.0.1:8055/

2023/01/23 15:35:15 app,line: 22     INFO | Logger object created successfully..
2023/01/23 15:35:15 app,line: 26     INFO | dash-trading started
2023/01/23 15:43:31 app,line: 22     INFO | Logger object created successfully..
2023/01/23 15:43:31 app,line: 26     INFO | dash-trading started
2023/01/23 15:43:33 dash,line: 1968     INFO | Dash is running on http://127.0.0.1:8055/

2023/01/23 15:43:35 app,line: 22     INFO | Logger object created successfully..
2023/01/23 15:43:35 app,line: 26     INFO | dash-trading started
2023/01/23 15:46:08 app,line: 22     INFO | Logger object created successfully..
2023/01/23 15:46:08 app,line: 26     INFO | dash-trading started
2023/01/23 15:46:27 app,line: 22     INFO | Logger object created successfully..
2023/01/23 15:46:27 app,line: 26     INFO | dash-trading started
2023/01/23 15:46:51 app,line: 22     INFO | Logger object created successfully..
2023/01/23 15:46:51 app,line: 26     INFO | dash-trading started
2023/01/23 15:46:54 dash,line: 1968     INFO | Dash is running on http://127.0.0.1:8055/

2023/01/23 15:46:55 app,line: 22     INFO | Logger object created successfully..
2023/01/23 15:46:55 app,line: 26     INFO | dash-trading started
2023/01/23 18:30:30 app,line: 22     INFO | Logger object created successfully..
2023/01/23 18:30:30 app,line: 26     INFO | dash-trading started
2023/01/23 18:31:04 app,line: 22     INFO | Logger object created successfully..
2023/01/23 18:31:04 app,line: 26     INFO | dash-trading started
2023/01/23 18:31:06 dash,line: 1968     INFO | Dash is running on http://127.0.0.1:8055/

2023/01/23 18:31:08 app,line: 22     INFO | Logger object created successfully..
2023/01/23 18:31:08 app,line: 26     INFO | dash-trading started
2023/01/23 18:36:23 app,line: 22     INFO | Logger object created successfully..
2023/01/23 18:36:23 app,line: 26     INFO | dash-trading started
2023/01/23 18:36:26 dash,line: 1968     INFO | Dash is running on http://127.0.0.1:8055/

2023/01/23 18:36:28 app,line: 22     INFO | Logger object created successfully..
2023/01/23 18:36:28 app,line: 26     INFO | dash-trading started
2023/01/23 18:38:10 app,line: 22     INFO | Logger object created successfully..
2023/01/23 18:38:10 app,line: 26     INFO | dash-trading started
2023/01/23 18:38:13 dash,line: 1968     INFO | Dash is running on http://127.0.0.1:8055/

2023/01/23 18:38:14 app,line: 22     INFO | Logger object created successfully..
2023/01/23 18:38:14 app,line: 26     INFO | dash-trading started
2023/01/23 18:40:17 app,line: 22     INFO | Logger object created successfully..
2023/01/23 18:40:17 app,line: 26     INFO | dash-trading started
2023/01/23 18:40:20 dash,line: 1968     INFO | Dash is running on http://127.0.0.1:8055/

2023/01/23 18:40:21 app,line: 22     INFO | Logger object created successfully..
2023/01/23 18:40:21 app,line: 26     INFO | dash-trading started
