2023/01/31 11:58:21 ValInvDataConversion,line: 166     INFO | Logger object created successfully..
2023/01/31 12:01:07 ValInvDataConversion,line: 180    DEBUG | AVST has no data
2023/01/31 12:01:10 ValInvDataConversion,line: 180    DEBUG | MGGT has no data
2023/01/31 12:01:14 ValInvDataConversion,line: 216    DEBUG | AVST has no data
2023/01/31 12:01:17 ValInvDataConversion,line: 216    DEBUG | MGGT has no data
2023/01/31 12:14:16 ValInvDataConversion,line: 166     INFO | Logger object created successfully..
2023/01/31 12:14:25 ValInvDataConversion,line: 180    DEBUG | AVST has no data
2023/01/31 12:14:29 ValInvDataConversion,line: 180    DEBUG | MGGT has no data
2023/01/31 12:14:41 ValInvDataConversion,line: 216    DEBUG | AVST has no data
2023/01/31 12:14:44 ValInvDataConversion,line: 216    DEBUG | MGGT has no data
2023/01/31 12:23:52 ValInvDataConversion,line: 166     INFO | Logger object created successfully..
2023/01/31 12:24:05 ValInvDataConversion,line: 180    DEBUG | BRW has no data
2023/01/31 12:24:05 ValInvDataConversion,line: 180    DEBUG | GLO has no data
2023/01/31 12:24:05 ValInvDataConversion,line: 180    DEBUG | CSP has no data
2023/01/31 12:24:06 ValInvDataConversion,line: 180    DEBUG | ERM has no data
2023/01/31 12:24:14 ValInvDataConversion,line: 180    DEBUG | RMG has no data
2023/01/31 12:24:17 ValInvDataConversion,line: 216    DEBUG | BRW has no data
2023/01/31 12:24:17 ValInvDataConversion,line: 216    DEBUG | GLO has no data
2023/01/31 12:24:17 ValInvDataConversion,line: 216    DEBUG | CSP has no data
2023/01/31 12:24:18 ValInvDataConversion,line: 216    DEBUG | ERM has no data
2023/01/31 12:24:27 ValInvDataConversion,line: 216    DEBUG | RMG has no data
2023/01/31 12:24:48 ValInvDataConversion,line: 166     INFO | Logger object created successfully..
2023/01/31 12:25:03 ValInvDataConversion,line: 180    DEBUG | BRW has no data
2023/01/31 12:25:03 ValInvDataConversion,line: 180    DEBUG | GLO has no data
2023/01/31 12:25:03 ValInvDataConversion,line: 180    DEBUG | CSP has no data
2023/01/31 12:25:04 ValInvDataConversion,line: 180    DEBUG | ERM has no data
2023/01/31 12:25:12 ValInvDataConversion,line: 180    DEBUG | RMG has no data
2023/01/31 12:25:16 ValInvDataConversion,line: 216    DEBUG | BRW has no data
2023/01/31 12:25:17 ValInvDataConversion,line: 216    DEBUG | GLO has no data
2023/01/31 12:25:17 ValInvDataConversion,line: 216    DEBUG | CSP has no data
2023/01/31 12:25:17 ValInvDataConversion,line: 216    DEBUG | ERM has no data
2023/01/31 12:25:27 ValInvDataConversion,line: 216    DEBUG | RMG has no data
2023/01/31 12:47:59 ValInvDataConversion,line: 166     INFO | Logger object created successfully..
2023/01/31 12:48:45 ValInvDataConversion,line: 166     INFO | Logger object created successfully..
